index,sent,ref_anim,ref_case,distance(clauses),conflict,num,word,tag,features,head,pron_func,pron_case,inf_str,corpus,comments
19,# text = ten jej pak má u sebe až do zániku zástavního práva.,a,3,1,,1,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
20,"# text = Ti jsou pro n? na prvním míst?, na druhém bývají azylanté, na t?etím zájemci z dalších stát? Evropské unie a naši lidé p?icházejí na ?adu až ?tvrtí, vysv?tlil.",a,4,2,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
21,"# text = Ty však kon?í k 1. ?ervenci 1995, zatímco zmín?né vklady jsou na dobu neur?itou, což je podle nám?stka hlavní problém.",i,2,1,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
23,"# text = Ta je spolu s ministerstvem kultury, Klubem rodák? a p?átel Kutné Hory a Spole?ností p?átel kultury slova hlavním organizátorem ortenovského festivalu, který p?ipomíná jednu z nejtalentovan?jších osobností naší literatury tohoto století.",a,2,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,20,nsubj,1,,PDT,
24,"# text = A ten jim chyb?t bude, i kdyby Miloš Zeman zvýšil sv?j odhad rozpo?tového deficitu t?eba o dalších 300 miliard.",i,4,1,,2,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
25,"# text = Ten, jak známo, m?že být velmi nestálý.",i,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,6,nsubj,1,,PDT,
26,"# text = Je to pár let, co komunisti?tí otcové m?sta vzdychali nad rozpadající se Prahou: Copak peníze, o ty by nebylo, ale kapacity na opravy chyb?jí.",i,1,,,20,ty,PDIP4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur|PronType=Dem,22,obl,4,,PDT,
27,# text = Ty totiž po rozd?lení ?eskoslovenska a nástupu nové politické garnitury ztratily pracn? budované kontakty na federální ú?edníky.,i,2,1,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,11,nsubj,1,,PDT,
28,# text = Ten je v obrovské mí?e p?erozd?lování.,i,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
29,"# text = Ta je v porovnání s kurzovými cenami (za které se akcie obchodují na kapitálových trzích) natolik vysoká, že se stávají vd??ným objektem spekulace i investic.",i,1,2,"1!, 1(in relcl)",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,19,nsubj,1,,PDT,
30,# text = Jde totiž o pom?r (podíl) a ten je konstantní.,i,4,1,,9,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,11,nsubj,1,,PDT,
31,# text = A ten se m?ní.,i,2,1,,2,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
32,# text = Ta byla pro n?j vším.,i,2,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,5,nsubj,1,,PDT,
33,"# text = Podle léka?? jste sice zdravý, ale rány na duši, ty se vylé?it nedají.",i,1,1,,12,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,8,appos,1,,PDT,
34,"# text = Ti ?asto z?stávají mimo evidenci, nebo? v?tšinou fungují normáln? s pomocí silných brýlí ?i dalších speciálních pom?cek.",a,1,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
35,# text = I ti p?ijdou ob?as k úrazu.,a,1,1,,2,ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
36,"# text = Samoz?ejm? s výjimkou Hlasatele, ten proti radnici nikdy ani nešpitl.",a,2,1,,6,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,11,nsubj,1,,PDT,
37,"# text = ten však vycházel ze Speeova Trutznachtigalla, kdežto Nitsch je originální, nap?. v této apoteóze slunce:",a,2,1,"1,2",1,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
38,"# text = Tu však do dalšího závodu budu pot?ebovat, protože p?íští víkend mám závodit za družstvo Evropy na Sv?tovém poháru v Londýn?, kam odlétám ve st?edu, ?íkal v sobotu skokan Dukly, který by se m?l ješt? v úterý p?edstavit na Julisce p?i Dukla mítinku.",i,1,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,7,obj,4,,PDT,
40,"# text = Ten má sice zájem nastoupit, ale z?ejm? až po vyšet?ení u sv?toznámého specialisty Lee Kwanga v USA se rozhodne o jeho startu.",a,2,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
41,# text = Ten umož?uje sva?ovat tlakové nádoby o tlouš?ce st?ny 2- 12 mm z nerezové oceli pro použití v N?mecku a rozší?it exportní možnosti strojíren na evropských trzích.,i,4,1,"1,4",1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
42,# text = Ta se nyní pohybuje kolem jedné koruny a proto je z?izování v?trných elektráren spíše koní?kem než p?edm?tem podnikání.,i,4,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
43,"# text = Ten - spolu s náchylností k narkotik?m - kdysi znamenal i Hopper?v osobní problém, kv?li kterému musel v sedmdesátých letech svou filma?skou dráhu do?asn? p?erušit.",i,7,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,10,nsubj,1,,PDT,
44,"# text = ""V Pardubicích jsme v úterý ztratili bod a ten te? musíme získat zp?t.",i,4,,,10,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,13,obj,4,,PDT,
45,# text = Ten velí jasn?: p?ijmout deštník ODS ?i jiné koali?ní strany.,i,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
46,# text = Ti svým podpisem a výrokem potvrzují pravdivost a objektivitu managementem podávaných informací.,a,2,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,6,nsubj,1,,PDT,
47,"# text = Ty doplnily t?i písn? ze singl? (v?etn? beatlovské vzpomínky Dear Prudence a ""satanského tanga"" Face To Face z Burtonova comicsu Batman se vrací) a ?ty?i starší skladby z alb Peep Show (1988), Ju Ju (1981) a Kaleidoscope (1980).",i,,,,1,Ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,2,obj,4,,PDT,
48,# text = Ten se m?l údajn? podílet na manipulaci s celními deklaracemi.,a,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
49,"# text = Ta za?íná již dnes ?ty?mi zápasy, v nichž budou bojovat celky, které skon?ily na 5. - 12. míst?.",i,2,1,"1,2",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
50,"# text = Ty se staly jedinou hodnotou i pro lidi, kte?í ješt? p?ed dv?ma lety pracovali s láskou a m?li ke své práci vztah.",i,2,1,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
52,"# text = Ten má být ekologicky šetrným zp?sobem provozován s odlu?ova?em zastaralé konstrukce až do zimy roku 1996/97, kdy bude natrvalo vy?azen z provozu.",i,2,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
53,# text = Tu chce mužstvo svými výkony a výsledky na ja?e zastavit.,i,2,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,10,obj,4,,PDT,
54,"# text = Ten se však svého nového místa m?že ujmout až od roku 1997, tedy rok po skon?ení funk?ního období dosavadní šéfky opery Evy Herrmannové.",a,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,7,nsubj,1,,PDT,
55,# text = Ten dnes vede operu v ?eských Bud?jovicích a s pražským souborem n?kolikrát spolupracoval.,a,4,1,"1,4",1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
56,"# text = Ten zahrne i etickou a rodinnou výchovu, bude se u?it v souvislostech a nevyhne se ani pou?ením o kriminalit?, o nemocech a také o nebezpe?í drogových závislostí.",i,2,2,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
57,"# text = Ten mají Benešová (200 m), Klapá?ová a Obdržálková (ob? 50 m), Makowková (výška), Rudová (60 m p?ek.), Valík (60 m) a Šuldesová (800 m).",i,1,,,1,Ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,2,obj,4,,PDT,
58,"# text = Ten se ostatn? svými atributy o?í ?i ho?ících much nabízí tak okat?, až je to celé navýsost podez?elé.",i,3,1,"6,3",1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,10,nsubj,1,,PDT,
59,"# text = Ty se podle st?ediska odehrály pouze v noci na v?erejšek v Grozném, kde ?e?enští ost?elova?i úto?ili na pozice ruských vojsk.",i,2,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,5,nsubj,1,,PDT,
60,# text = Ta už stála tém?? dv? miliardy korun a v sou?asné dob? p?edstavuje p?ibližn? dv? t?etiny základního jm?ní spole?nosti.,i,4,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,3,nsubj,1,,PDT,
61,# text = Ta povede z Prahy p?es Ústí nad Labem do Dráž?an ve Spolkové republice N?mecko.,i,2,1,"4,2",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
62,"# text = Na bruslení jsem m?l dost ?asu, protože jsem si p?vodn? myslel, že z?stanu v IHL, a ta za?íná až o m?síc a p?l pozd?ji než extraliga.",i,6,1,,20,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,21,nsubj,1,,PDT,
63,# text = Ta se totiž specializovala na p?ípravu voják? pro balkánskou misi.,i,2,1,"2!,2",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
64,# text = Ta pracuje jako redaktorka ?TK.,a,1,1,"1, 1!",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
65,"# text = MUDr. Petr ?oupek: ""Byl takový trend, v první ?ad? informovat rodinu, jenže podle etického kodexu musí první informaci dostat pacient a teprve ten rozhodne, zda ji pustí dál.""",a,1,1,,28,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,29,nsubj,1,,PDT,
66,# text = Tu musí dát léka?.,i,4,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,3,obj,4,,PDT,
67,"# text = Ta tvrdila, že vraždu zorganizoval sám Nabijev, aby získal záminku k zásahu proti opozi?ním silám, nebo že jde o vy?izování ú?t? mezi vládnoucími klany.",i,4,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
68,"# text = Tu najdeme i na jeho prvním albu (Pavel Richter Band), kde kytaru, která hraje opakující se motivy, doprovázejí jen perkuse, v?tšinou obrácené hrnce.",i,3,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,2,obj,4,,PDT,
69,"# text = Ta upozornila na to, že se pravd?podobn? brzy uvolní n?které stánky zanikající federace (nap?íklad práv? modernizovaná budova Federálního shromážd?ní).",i,2,1,"7,2",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
70,# text = Ti spolu se záchraná?i nemocnice a Hlavní bá?ské záchranné služby i s piloty a mechaniky Belairu (d?íve Slovairu) tvo?í sehraný tým.,a,1,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,21,nsubj,1,,PDT,
71,"# text = ""To je marné, ten už je mrtvý, je totiž alergický na bodnutí v?elou,"" ?íkají bezradní, okolo stojící lidé.",a,2,2,,6,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,9,nsubj,1,,PDT,"?????????, ???? ?? ??????????"
72,"# text = Ne kv?li stanovisku ?eské vlády - ta má svaté právo mít jiný názor než poslanci, ani kv?li panu Klausovi - p?íslušnost k politické stran? p?ece nezavazuje k úpln? stejnému názoru.",a,2,1,,7,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,8,nsubj,1,,PDT,
73,# text = A ta mu dala tvrd? za vyu?enou.,i,7,1,,2,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
75,"# text = Obec m?la možnost pachtovat honitbu dražbou a tu dostal ten, kdo dal nejvíc.",i,4,,"4,7",8,tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,9,dep,4,,PDT,
77,"# text = Ten sázel, zveleboval pozemky, komoroval koroptve, líhl bažanty, krmil v zim?, prohrnoval sníh na ozimech, hlídal revíry p?ed nejv?tší škodnou - toulavými psy a ko?kami;",a,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
78,# text = Ty se utrácejí zde na Zemi.,i,1,1,"1!, 1",1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj:pass,1,,PDT,
79,# text = ten se nám totiž ?asem ukáže sám.,i,4,1,,1,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,6,nsubj,1,,PDT,
80,# text = Cílem je restrukturalizace ekonomiky a ta má obrovské množství forem - bankrot je však formou extrémní.,i,2,1,"1,2",6,ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,7,nsubj,1,,PDT,
81,"# text = A ty jsou - jak známo - malé, což znamená, že soudy projednají do m?síce p?ibližn? 10 - 15 podání v??itel? na konkurz.",i,7,1,"7,2",2,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,8,nsubj,1,,PDT,
82,"# text = Co se tý?e velkých bank, tak ty jsou zatím z rizikového kola venku.",i,2,1,,8,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,9,nsubj,1,,PDT,
83,"# text = Ty jeho cenu v podstat? nemohou ovlivnit, zato ten ""druhý vzadu"" ano, a tím je Ministerstvo financí ?R.",i,1,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,6,nsubj,1,,PDT,
84,"# text = Ta d?lala v prosinci lo?ského roku u naturalu 9390 K?, zatímco letos v lednu 10055 K?.",i,4,1,"3,4",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
85,# text = Ta byla v posledním lo?ském m?síci 4045.70 K? a v lednu roku 1994 pak 4129.65 K?.,i,1,1,"7,1",1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,7,nsubj,1,,PDT,
86,"# text = Ti odhadují, že po uvoln?ní cen nebude následovat jejich okamžitý vzestup.",a,7,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
87,"# text = Ty jsou nejv?tší firemní devizou p?i konkurzních ?ízeních, kterých se firma ú?astní hlavn? na severní Morav?.",i,4,1,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,5,nsubj,1,,PDT,
88,# text = Ti mn? pomáhají chápat život v celé jeho ší?i.,a,1,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,3,nsubj,1,,PDT,
89,# text = Ti zaplatí v sezon? za jeden den s polopenzí kolem 40 DEM.,a,1,1,"1!,1,1",1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
90,"# text = Zazn?l názor, že ud?lat si byznys plán na p?t let je dobrá v?c, ale je dobré rozpracovat si ho i na jednotlivé m?síce, nebo? ten odhalí problémy, s nimiž se bude podnikatel každodenn? potýkat.",i,4,3,,28,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,29,nsubj,1,,PDT,"?????????? ??????, ????????????? ???? ? ????"
91,# text = Ten zaznamenává každý nákup prost?ednictvím karty.,i,6,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
92,# text = Ti však údajn? nesplnili jednu z podmínek sout?že.,a,3,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,4,nsubj,1,,PDT,
93,# text = Ten má v nejbližší dob? p?ípad rozhodnout.,i,4,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
94,# text = Ten byl p?vodn? postaven na principu transformace firmy do akciové spole?nosti a po?ítal se zahrani?ní kapitálovou ú?astí.,i,1,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj:pass,1,,PDT,?????????? ? ???? ? ????? ?????
95,# text = Na stoly dávám papírové krajkové ubrusy a ty chráním ?irým plexisklem uchyceným kovovými úchytkami.,i,4,,"4, 4!",8,ty,PDIP4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur|PronType=Dem,9,obj,4,,PDT,?????????? ???? ? ???? ? ????? ??????
96,# text = Ten tla?il na další zm?ny.,a,3,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
97,# text = Ti vítají i ?astá jídla ze zv??iny nebo jídla domácího typu.,a,2,1,,1,Ti,PDMP1----------,Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
98,"# text = Ty jsou nejv?tší firemní devízou p?i konkurzních ?ízeních, kterých se firma ú?astní hlavn? na severní Morav?.",i,4,1,,1,Ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,5,nsubj,1,,PDT,
99,# text = Tu za?ínáme pomalu brát jako samoz?ejmost.,i,1,,,1,Tu,PDFS4----------,Case=Acc|Gender=Fem|Number=Sing|PronType=Dem,4,obj,4,,PDT,
100,"# text = Nyní - po uplynutí ?trnácti dní a dvou návšt?vách - vidím, že ani ten není nejlepší a nev?nuje se mi tak, jak bych pot?eboval.",a,4,1,,15,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,17,nsubj,1,,PDT,
101,"# text = Co se tý?e finan?ních prost?edk? od Sv?tové banky, Evropské investi?ní banky a Evropské banky pro obnovu a rozvoj, tak ty nám budou uvoln?ny teprve letos na ja?e.",i,2,1,,22,ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,25,nsubj:pass,1,,PDT,
102,"# text = Podle sd?lení ministra zem?d?lství Luxe bylo ješt? pro vývoz dr?beže ur?eno na americké stran? dalších p?t milion? dolar?, ale ""ty jsou pro ?eskou republiku nep?ijatelné"", sd?lil náš ministr.",i,4,1,,22,ty,PDIP1----------,Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur|PronType=Dem,27,nsubj,1,,PDT,
103,# text = Ty tvo?í v ro?ním obratu 200 milion? až polovinu.,i,6,1,,1,Ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,2,nsubj,1,,PDT,
104,"# text = Pokud Formed nesplní podmínky smlouvy v rychlosti opravy, pošle zákazníkovi dobropis, a ten má opravu zdarma.",a,3,1,,15,ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,16,nsubj,1,,PDT,??????????????? ???????? ????????????? ? ??????????????
105,"# text = Dnes je také mnohem menší šance, že by se n?co zajímavého dalo objevit t?eba na venkov?, protože ten systematicky objíždí ?ada p?ekupník?.",i,6,,,20,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,22,obj,4,,PDT,
106,# text = Ta byla jakýmsi slabiká?em pro budoucí podnikatele.,i,4,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
107,# text = Ta sice zatím neexistuje.,i,1,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,4,nsubj,1,,PDT,
108,"# text = * nenechat se nalákat na malý dárek p?i objednávce zboží, protože ten jste si ur?it? zaplatili,",i,4,,,13,ten,PDIS4----------,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing|PronType=Dem,17,obj,4,,PDT,
109,"# text = Nejnaléhav?ji to vystupuje do pop?edí u byt? ve vlastnictví obcí, protože ty spravují asi ?tvrtinu bytového fondu ?eské republiky a n?které mají - p?edevším z finan?ních d?vod? - zájem ?ást svých byt? zpen?žit.",i,2,1,,13,ty,PDFP1----------,Case=Nom|Gender=Fem|Number=Plur|PronType=Dem,14,nsubj,1,,PDT,
110,"# text = Ten prozkoumal kolekci z hlediska malí?ského rukopisu a došel k záv?ru, že ji nenamaloval van Gogh.",a,4,2,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,2,nsubj,1,,PDT,
111,# text = Ta po nevyhnutelné restrikci v dob? d?lení státu a m?ny p?ešla ve 2. pololetí naopak do mírn? expanzivní polohy.,i,7,1,,1,Ta,PDFS1----------,Case=Nom|Gender=Fem|Number=Sing|PronType=Dem,11,nsubj,1,,PDT,
112,# text = Ten by se m?l v letošním roce zvyšovat tempem 2 - -3 % a v p?íštím roce tempem asi 3 - 4 %.,i,2,1,,1,Ten,PDYS1----------,Case=Nom|Gender=Masc|Number=Sing|PronType=Dem,4,nsubj:pass,1,,PDT,
113,# text = Ke schválení tohoto zvýšení jsou pot?ebné dv? t?etiny hlas? akcioná?? - a ty stát díky svým 70 % akcií má.,i,1,,,13,ty,PDFP4----------,Case=Acc|Gender=Fem|Number=Plur|PronType=Dem,20,obj,4,,PDT,
