ParticipantID;TypeOfQuestion;QuestionCategory;Responce
10641e1b505dda0cb82be1a8e1637c37;Form;sex;female
324340a79c0baf5a321d1933c517fdae;Form;age;55
324340a79c0baf5a321d1933c517fdae;Form;country1;Famagusta,Cyprus
324340a79c0baf5a321d1933c517fdae;Form;country2;Sotira,Cyprus
324340a79c0baf5a321d1933c517fdae;Form;education;College
324340a79c0baf5a321d1933c517fdae;Form;handedness;right
324340a79c0baf5a321d1933c517fdae;Form;sex;female
80163577409836e099ebe789576d7a32;Form;age;29
80163577409836e099ebe789576d7a32;Form;country1;Limassol
80163577409836e099ebe789576d7a32;Form;country2;Italia
80163577409836e099ebe789576d7a32;Form;education;UniversityDegree
80163577409836e099ebe789576d7a32;Form;handedness;right
80163577409836e099ebe789576d7a32;Form;sex;female
a0872883e3c3635e9b535cd0173851f2;Form;age;67
a0872883e3c3635e9b535cd0173851f2;Form;country1;Lapethos,Cyprus
a0872883e3c3635e9b535cd0173851f2;Form;country2;Greece
a0872883e3c3635e9b535cd0173851f2;Form;education;UniversityDegree
a0872883e3c3635e9b535cd0173851f2;Form;handedness;right
a0872883e3c3635e9b535cd0173851f2;Form;sex;male
ac3d495977ee5b80cc3c0b49ea7db79a;Form;age;26
ac3d495977ee5b80cc3c0b49ea7db79a;Form;country1;Nicosia
ac3d495977ee5b80cc3c0b49ea7db79a;Form;country2;Florence
ac3d495977ee5b80cc3c0b49ea7db79a;Form;education;PhDongoing
ac3d495977ee5b80cc3c0b49ea7db79a;Form;handedness;right
ac3d495977ee5b80cc3c0b49ea7db79a;Form;sex;male
ad58d2a1137448df8a86f151736ff336;Form;age;40
ad58d2a1137448df8a86f151736ff336;Form;country1;Nicosia
ad58d2a1137448df8a86f151736ff336;Form;country2;Nicosia
ad58d2a1137448df8a86f151736ff336;Form;education;UniversityDegree
ad58d2a1137448df8a86f151736ff336;Form;handedness;right
ad58d2a1137448df8a86f151736ff336;Form;sex;female
b948590b02bd69d4a3fc9629b1f6062a;Form;age;33
b948590b02bd69d4a3fc9629b1f6062a;Form;country1;Limassol
b948590b02bd69d4a3fc9629b1f6062a;Form;country2;Limassol
b948590b02bd69d4a3fc9629b1f6062a;Form;education;Postgraduate
b948590b02bd69d4a3fc9629b1f6062a;Form;handedness;right
b948590b02bd69d4a3fc9629b1f6062a;Form;sex;female
e7fd8db672dc8cef14d83739e2af6ea6;Form;age;28
e7fd8db672dc8cef14d83739e2af6ea6;Form;country1;Nicosia
e7fd8db672dc8cef14d83739e2af6ea6;Form;country2;Nicosia
e7fd8db672dc8cef14d83739e2af6ea6;Form;education;Postgraduate
e7fd8db672dc8cef14d83739e2af6ea6;Form;handedness;right
e7fd8db672dc8cef14d83739e2af6ea6;Form;sex;female
ec041d028e48446856761f8d472c56e2;Form;age;35
ec041d028e48446856761f8d472c56e2;Form;country1;Nicosia
ec041d028e48446856761f8d472c56e2;Form;country2;Nicosia
ec041d028e48446856761f8d472c56e2;Form;education;Postgraduate
ec041d028e48446856761f8d472c56e2;Form;handedness;right
ec041d028e48446856761f8d472c56e2;Form;sex;male
ed33e57d048d12d246298f2e0e4192d6;Form;age;26
ed33e57d048d12d246298f2e0e4192d6;Form;country1;Nicosia
ed33e57d048d12d246298f2e0e4192d6;Form;country2;Nicosia
ed33e57d048d12d246298f2e0e4192d6;Form;education;Postgraduate
ed33e57d048d12d246298f2e0e4192d6;Form;handedness;left
ed33e57d048d12d246298f2e0e4192d6;Form;sex;female
f5a9e1dafe1ce0ed8cfa4f2d1af80049;Form;age;30
f5a9e1dafe1ce0ed8cfa4f2d1af80049;Form;country1;Nicosia
f5a9e1dafe1ce0ed8cfa4f2d1af80049;Form;country2;Nicosia
f5a9e1dafe1ce0ed8cfa4f2d1af80049;Form;education;Postgraduate
f5a9e1dafe1ce0ed8cfa4f2d1af80049;Form;handedness;left
f5a9e1dafe1ce0ed8cfa4f2d1af80049;Form;sex;male
f08c7d3d0b0177bc1d6858ebd43a6fba;Form;age;20
f08c7d3d0b0177bc1d6858ebd43a6fba;Form;country1;Larnaca,Cyprus
f08c7d3d0b0177bc1d6858ebd43a6fba;Form;country2;Heidelberg,Germany
f08c7d3d0b0177bc1d6858ebd43a6fba;Form;education;UniversityDegree
f08c7d3d0b0177bc1d6858ebd43a6fba;Form;handedness;right
f08c7d3d0b0177bc1d6858ebd43a6fba;Form;sex;female
f59baae2e06fd5964a604c13b3cf48dd;Form;age;29
f59baae2e06fd5964a604c13b3cf48dd;Form;country1;Nicosia
f59baae2e06fd5964a604c13b3cf48dd;Form;country2;Nicosia
f59baae2e06fd5964a604c13b3cf48dd;Form;education;Postgraduate
f59baae2e06fd5964a604c13b3cf48dd;Form;handedness;right
f59baae2e06fd5964a604c13b3cf48dd;Form;sex;female
