sentence,ref_anim,ref_case,distance(clauses),conflict,num,outcome
"# text = Jenže on dodal, že už existují tabletky proti zvracení, které by v mém případě měly zabrat.",a,1,3,no,2,0
"# text = Nebo jiný příklad, když už jde řeč o víně: "" Existuje aspoň jeden člověk, o němž platí, že má-li on rád víno, pak každý má rád víno. """,a,1,2,no,26,0
"# text = Což není obrazné sdělení, on prý si doopravdy odmítal koupit nové boty a chodí ve starých, protože potřeboval peníze na to, co považuje ve svém životě za nejdůležitější a nejzajímavější - experimentování.",a,,10,no,6,0
"# text = Zde totiž není nic k nepochopení, on pouze pochopit nechce a svévolně nás brzdí na naší cestě k lepším zítřkům.",a,2,4,no,8,0
"# text = Neuznávání těchto hranic pak vede například k mylným výkladům toho, co si lidé opravdu myslí, nebo k ""vědecky podloženým"" přesvědčením, že víme, co je pro ně dobré, takže se často nestačíme divit, když zjistíme, že oni to za příliš dobré zrovna nepovažují.",a,1,5,no,45,0
"# text = Ony jsou totiž největšími věřiteli a záleží na nich, jak využijí možností daných zákonem.",i,4,1,no,1,0
"# text = Ani ony totiž nejsou ničím jiným, než pouhým podnikatelským subjektem, který v tvrdé konkurenci dalších bank buď uspěje, nebo zkrachuje.",i,1,2,no,2,0
"# text = S někým stačí promluvit a on si to bude pro příště pamatovat, jindy je větším ponaučením krácení prémií.",a,7,1,no,6,0
"# text = Jsou prostě záležitosti, o nichž ani on nežertuje.",a,3,2,no,8,0
# text = Mýlili se však oni.,a,2,1,no,4,0
"# text = Nebo je jim jedno, že se po prvním pokusu vzdá, naštvaně si řekne: Tak oni po mně chtějí šest korun a ještě ze mě dělají blázna, a neoznačený lístek si schová na příští jízdu.",a,,,no,18,0
"# text = Oni přece byli z branže, znalí věci.",a,,6,no,1,0
"# text = Upozorníme starožitníka, ale on není povinen náš názor respektovat.",a,4,1,no,5,0
# text = Vždyť také nikdo neví o úspěšnosti firmy více než on.,a,1,1,no,10,0
"# text = Také ony si uvědomily, že trvalý tlak na mzdy (a následně na ceny) má bumerangový efekt v krajně nežádoucí podobě varujícího oslabení konkurenční schopnosti většiny západoevropských producentů za jejich severoamerickými a tichomořskými konkurenty.",i,2,1,no,2,0
# text = Zákonitě by pak i on musel zvýšit ceny.,i,1,5,no,5,0
"# text = Domnívá se oprávněně, že za tuto dobu jak jeho firma, tak on jako její majitel udělali pro stát a město nemálo.",a,7,6,no,14,0
"# text = K narozeninám jsem dal manželce dárek, ale ona s ním nezachází dobře a podle mých představ.",a,3,1,no,9,0
"# text = Ona se však brání známým rčením - co se jednou dá, to se z ruky nevydá.",a,3,3,no,1,0
"# text = Obvykle je snadno vidět, že podmínky splácení jsou neúnosně tvrdé, zvláště když se podnikateli staví do cesty překážky, které on sám nemůže nijak ovlivnit - jsou povolení, na která se čeká měsíce , a podobně.",a,3,1,no,23,0
"# text = Pokud jsou odpovědi kladné, usedá za volant on.",a,4,4,no,9,0
"# text = Ale to on, mezek, dnes ještě nechápe.",a,1,-1,no,3,0
"# text = Protestuji, že právě tuto bankovku mi v této bance ona sama před měsícem vyměnila za šilinky.",a,1,6,no,11,0
# text = I ony ale mají velký význam:,i,1,1,no,2,0
"# text = Někteří komunisté na Praze 4 prý začali využívat nevyjasněné situace pro chytrou formu předvolební agitace: podle jejich tvrzení ODS neplní sliby, zatímco oni jsou nebývale ochotni podporovat stanovisko občanů (za postoj někdejší KSČ samozřejmě nemohou)...",a,1,2,no,25,0
# text = Ty však mnohé zákazníky odrazovaly.,i,4,1,no,1,1
"# text = Zůstane mu navíc nemovitost a ta i za situace, kdy to vypadá, že ceny realit budou v nejbližších letech spíše klesat, je přeci jen větší jistotou než inflační peníze.",i,1,2,no,6,1
"# text = Ti uvažují o výstavbě vlastních kotelen, zejména plynových.",a,4,1,no,1,1
"# text = Ta musí o své místo na severoamerickém trhu vedle americké, japonské a další konkurence tvrdě bojovat, snažit se o co nejvyšší efektivnost a kvalitu při přijatelných cenách.",i,7,1,no,1,1
# text = Ty konečným zákazníkům neprodávají a jejich klientelu tvoří jen cestovní kanceláře.,i,1,1,no,1,1
"# text = Ty mají pak někdy takovou publicitu, že to dotyčnou kancelář prakticky zlikviduje.",i,1,1,no,1,1
"# text = A ta už složí na hromádku dva, tři i více tisíc bodů, a tam ten rozptyl nemusí být drobením.",i,1,1,no,2,1
"# text = Ten přece bude mít eminentní zájem na tom, aby firma prosperovala.",i,3,1,no,1,1
# text = Ty mají většinou do půl karátu.,i,4,1,yes,1,1
# text = Spíš než jednotlivci mají zájem o investování do diamantů podniky a ty pak kupují kameny kolem karátu.,i,1,1,yes,12,1
# text = Ty tedy byly!,i,6,1,no,1,1
"# text = Ten výzkum koncipuje, firma ho v terénu realizuje a hlavní řešitel, opět s týmem, zpracovává výsledky. -",i,4,1,yes,1,1
# text = Ta však v podstatě existuje.,i,1,1,no,1,1
"# text = Ti snad posoudí, jak poslanec dbá o své vzdělání či o svůj zevnějšek.",a,2,1,yes,1,1
# text = ten jej pak má u sebe až do zániku zástavního práva.,a,3,2,no,1,1
"# text = Ti jsou pro ně na prvním místě, na druhém bývají azylanté, na třetím zájemci z dalších států Evropské unie a naši lidé přicházejí na řadu až čtvrtí, vysvětlil.",a,4,1,no,1,1
"# text = Ty však končí k 1. červenci 1995, zatímco zmíněné vklady jsou na dobu neurčitou, což je podle náměstka hlavní problém.",i,2,1,no,1,1
"# text = Ta je spolu s ministerstvem kultury, Klubem rodáků a přátel Kutné Hory a Společností přátel kultury slova hlavním organizátorem ortenovského festivalu, který připomíná jednu z nejtalentovanějších osobností naší literatury tohoto století.",a,2,1,no,1,1
"# text = A ten jim chybět bude, i kdyby Miloš Zeman zvýšil svůj odhad rozpočtového deficitu třeba o dalších 300 miliard.",i,4,1,no,2,1
"# text = Ten, jak známo, může být velmi nestálý.",i,4,1,no,1,1
# text = Ty totiž po rozdělení Československa a nástupu nové politické garnitury ztratily pracně budované kontakty na federální úředníky.,i,2,1,no,1,1
# text = Ten je v obrovské míře přerozdělování.,i,4,2,no,1,1
"# text = Ta je v porovnání s kurzovými cenami (za které se akcie obchodují na kapitálových trzích) natolik vysoká, že se stávají vděčným objektem spekulace i investic.",i,1,1,yes,1,1
# text = Jde totiž o poměr (podíl) a ten je konstantní.,i,4,1,no,9,1
# text = A ten se mění.,i,2,1,no,2,1
# text = Ta byla pro něj vším.,i,2,1,no,1,1
"# text = Podle lékařů jste sice zdravý, ale rány na duši, ty se vyléčit nedají.",i,1,1,no,12,1
"# text = Ti často zůstávají mimo evidenci, neboť většinou fungují normálně s pomocí silných brýlí či dalších speciálních pomůcek.",a,1,1,no,1,1
# text = I ti přijdou občas k úrazu.,a,1,1,no,2,1
"# text = Samozřejmě s výjimkou Hlasatele, ten proti radnici nikdy ani nešpitl.",a,2,1,no,6,1
"# text = ten však vycházel ze Speeova Trutznachtigalla, kdežto Nitsch je originální, např. v této apoteóze slunce:",a,2,1,yes,1,1
"# text = Ten má sice zájem nastoupit, ale zřejmě až po vyšetření u světoznámého specialisty Lee Kwanga v USA se rozhodne o jeho startu.",a,2,1,no,1,1
# text = Ten umožňuje svařovat tlakové nádoby o tloušťce stěny 2- 12 mm z nerezové oceli pro použití v Německu a rozšířit exportní možnosti strojíren na evropských trzích.,i,4,1,yes,1,1
# text = Ta se nyní pohybuje kolem jedné koruny a proto je zřizování větrných elektráren spíše koníčkem než předmětem podnikání.,i,4,1,no,1,1
"# text = Ten - spolu s náchylností k narkotikům - kdysi znamenal i Hopperův osobní problém, kvůli kterému musel v sedmdesátých letech svou filmařskou dráhu dočasně přerušit.",i,7,1,no,1,1
# text = Ten velí jasně: přijmout deštník ODS či jiné koaliční strany.,i,1,1,no,1,1
# text = Ti svým podpisem a výrokem potvrzují pravdivost a objektivitu managementem podávaných informací.,a,2,1,no,1,1
# text = Ten se měl údajně podílet na manipulaci s celními deklaracemi.,a,1,1,no,1,1
"# text = Ta začíná již dnes čtyřmi zápasy, v nichž budou bojovat celky, které skončily na 5. - 12. místě.",i,2,1,yes,1,1
"# text = Ty se staly jedinou hodnotou i pro lidi, kteří ještě před dvěma lety pracovali s láskou a měli ke své práci vztah.",i,2,1,no,1,1
"# text = Ten má být ekologicky šetrným způsobem provozován s odlučovačem zastaralé konstrukce až do zimy roku 1996/97, kdy bude natrvalo vyřazen z provozu.",i,2,1,no,1,1
"# text = Policist? tvrdili, ?e st??leli st?le je?t? pouze do vzduchu, ?e to v?ak byli oni, na koho st??leli nezn?m? jedinci z davu.",a,1,2,no,16,0
"# text = 1. obdob?: "" jasn? nep??tel"" - v?dom? ""oni a my"" jasn? definuje nep??tele, kter?ho je t?eba porazit.",a,,,no,12,0
"# text = Kdo si zahr?v? s nacionalismem, nikdy nev?, kdy se objev? je?t? v?t?? nacionalista, ne? je on s?m.",a,1,3,no,19,0
"# text = Ponech?me budoucnosti, aby rozhodla , nakolik se tyto v?hledy zmoud?el?ch prorok? spln?, nebo naopak upadnou v zapomn?n? a oni s nimi.",a,2,2,no,22,0
"# text = On byl prvn?, kter? cht?l sem do Ameriky dostat Lu?ka Buka?e a Jirku Dud??ka, a to bylo v dob?ch, kdy se je?t? nic nesm?lo.""",a,1,3,no,1,0
# text = Kdyby j?m byl ob?an - bylo by to lehk? a oni by mohli j?t hned dom?.,a,1,6,no,12,0
"# text = Nikdo nev?, co v?d? oni.",a,1,2,no,6,0
"# text = Jedin? ony v ?ech?ch je?t? st?le dok?? proti ve?ker? logice v?c? rozhodovat o tom, co bude vlastn? v tom kter?m p??pad? ob?an? obecn? z?jem...", i,1,1,no,2,0
"# text = Ve v?erej??m utk?n? skupiny B se Finov? se sv?mi norsk?mi sousedy dlouho netr?pili, i kdy? Prvn? branku dostali oni.",a,7,1,yes,20,0
# text = Podobn? bilance je i v?sledkem cest vicepremi?ra: i on v?cem?n? podepsal jen p?r nep??li? p?evratn?ch smluv o bezv?zov?m vstupu dr?itel? zvl?tn?ch pas? a sna?il se p?ipravit p?du pro budouc? dohody obchodn?ho r?zu.,a,2,1,no,10,0
"# text = Pr?v? to, co oba protagonist? pot?ebovali: Boross prok?zal, ?e nejen opozi?n? politici, ale i on je s to nav?zat p??telsk?, korektn? kontakty se severn?m sousedem;",a,1,2,no,19,0
"# text = Co to znamen?, shrnul hned po uzav?en? volebn?ch m?stnost? ??f FMLN Joaqu?n Villalobos: ""Jsme druhou nejv?t?? silou a on s n?mi mus? jednat.""",a,1,5,no,22,0
"# text = Mo?n?, ?e pr?v? doma obl?kne r?d tu starou, dobrou vestu a m? sv? d?ti nejen k tomu, ?e mus? slu?n? zdravit, zdvo?ile pod?kovat, neut?rat si nos do ruk?vu, ale n?jak?m zp?sobem jim v?t?puje i to, ?e je dobr? pom?hat slab??mu nebo ?e nemaj? d?lat druh?mu to, co necht?j?, aby oni ?inili jim.",a,3,2,no,60,0
"# text = On s?m m?l mo?nost nau?it se n?co od Angela, dvacetilet?ho pouli?n?ho zlod?je, kter? mus? u??vat sv?j ""l?k"" a? sedmkr?t denn?, aby zahnal vlny bolesti.",a,1,1,no,1,0
"# text = V???m tomu, ?e i oni mohou leckomu zm?nit ?eb???ek hodnot.",a,4,3,no,6,0
# text = On prvn? p?ivezl afgh?ny do ?eskoslovenska.,a,7,2,no,1,0
"# text = On se v?ak i tomuto nepravd?podobn?mu nebezpe?? rad?ji vyhne a pou?? n?s, ?e je to kontradiktivn?.",a,1,4,no,1,0
# text = P?es to v?echno v?ak i on pat?? mezi druhy zapsan? v ?erven? knize a jeho po?ty neust?le klesaj? - jednou z hlavn?ch p???in je p?edev??m ztr?ta vhodn?ch hn?zdn?ch p??le?itost?.,a,1,4,no,6,0
"# text = Ten se rovn?? soust?e?uje p?edev??m na posti?en? bizarn?ho rozm?ru sv? role, snad ani on s?m nev???, ?e ""B?h je l?ska"".",a,2,2,no,15,0
# text = Ve druh? polovin? hry v?ak tak? ona upad? do pouh?ho stereotypu miluj?c? naivky.,a,3,2,no,7,0
"# text = Svou re?ijn? vizitku p?edkl?d? Jaroslav Gillar ve chv?li, kdy by m?la prob?hnout transformace M?stsk?ch divadel pra?sk?ch a on je jedn?m z hork?ch kandid?t? na ?editelsk? k?eslo staronov? sc?ny.",a,1,2,no,19,0
"# text = V t?to sout??i bude m?t ?R jen jednoho z?stupce a, bude-li hr?t Sparta kvalifikaci PMEZ a neusp?je-li, p?ibude i ona.",i,1,2,no,26,0
"# text = Zda je pr?v? on t?m nejschopn?j??m, uk?e budoucnost.",a,4,1,no,4,0
"# text = Ona ?ije v n?jak?m klimatu, z?skala jist? zku?enosti a zjist?, jak je v?hodn? d?vat nikoli koali?n?, ale jen ??ste?n? koali?n? n?vrhy do parlamentu.",i,1,1,no,1,0
"# text = Vedle ob?asn?ch, ale st?le z??dkav?j??ch n?vrat? k n?ro?n?j?? tematice se spol?h? na atraktivn? tituly s ban?ln?mi z?pletkami a konfek?n?m st?ihem - na p?esn? takov?, proti nim? on i jeho druzi coby kritici ohniv? brojili.",a,2,6,no,29,0
"# text = Kdy? v prvn? p?li 70. let si uzn?n? zjedn?valy politick? p??b?hy, p?isp?l k nim i on - na televizn?ch obrazovk?ch spat??me z t?to skupiny Krvav? svatby.",a,4,2,no,18,0
"# text = Cht?l bych b?t dobr? jako on, aby lid? mohli jednou ??kat, ?e tu byl jen jeden Ronaldo.",a,1,1,no,6,0
"# text = Tymich hraje srdcem a v???m, ?e i on n?m pom??e, ?ekl tren?r Bohemians Bar?t.",a,1,2,no,9,0
"# text = Dokonce ani obsluha sila, pakli?e by ji ovl?dl fanatik, a ona nosi? s hlavic? sestykovala, nem??e raketu odp?lit.",i,1,2,no,13,0
"# text = Byla ustavena Rada pro zahrani?n? investice, kter? p?edsed? on s?m, a jsou navrhov?na opat?en?, je? znamenaj? v?razn? posun v my?len? Rus? a kter? by m?la zakr?tko zes?lit p??liv investi?n?ch prost?edk? ze zahrani??.",a,1,4,no,10,0
"# text = V parlamentu jsou sice pom?rn? po?etn? skupiny zam??en? proti vl?d? a premi?rovi, av?ak i ony jsou si v?domy toho, ?e je zapot?eb? co nejrychleji zm?nit image Ruska v cizin? a z?skat v?ce zahrani?n?ho kapit?lu.",i,1,1,no,16,0
"# text = Castro USA opakovan? obvinil , ?e za sou?asn? exodus mohou ony .",i,4,1,no,11,0
"# text = Ani on v?ak nic bl?e nevysv?tlil, ani nesd?lil, zda IRA vyhl?s? p??m???.",a,1,3,no,2,0
"# text = Jako libero v?ak mus? zastat sedmdes?t a? osmdes?t procent v organizaci obrany, co? on nedok?zal, ??k? tren?r o kapit?novi Sta?ovi, kter? byl o p?est?vce vyst??d?n.",a,3,4,no,15,0
"# text = Tren?r v?t?zn?ho Bene?ova Jaroslav H?eb?k m?l d?vod k velk? radosti, on v?ak projevil l?tost nad sv?m drnovick?m kolegou: S tren?rem Br?cknerem m?m velmi dobr? vztahy, a je mi l?to, ?e jsme vyhr?li pr?v? na jeho h?i?ti.",a,1,1,no,12,0
"# text = Dokazuje to, ?e p?edstava, ?e sou?asn? proces stejn? jednou vy?st? v palestinsk? st?t, se tak za?ila, ?e ji? nestoj? za to formality vytahovat (V?ak ony se je?t? budou hodit, a? se n?co zadrhne).",i,4,1,no,30,0
"# text = Ani ona neu?la prozrazen?, ale n?mo?n? p?chota (marine corps) ji uznala jako prvn? ?enskou p??slu?nici.",a,1,5,no,2,0
"# text = V?dy? pr?v? Nizozemci, ale i Francouzi, Ameri?an? a dal?? cizinci n?s d?razn? nab?daj? k zachov?n? toho, co jsme dlouhodob? budovali a co oni ve sv?ch zem?ch postr?daj?: po celou divadeln? sezonu denn? kvalitn? p?edstaven? na st?l?ch sc?n?ch v kamenn?ch divadlech.",a,1,2,no,26,0
# text = Ale kdy? on je nezn?...,a,6,3,no,3,0
# text = Jde v n?m o inspirativn? ?inorodost a pr?v? ona - nikoli tedy bohatstv? nebo popularita - d?l? ze v?ech protagonist? Genu tolik zpochyb?ovanou elitu.,i,4,1,no,9,0
# text = A on ji absolvoval t?ikr?t.,a,1,7,no,2,0
"# text = Nov??ek Bene? jist? nen? lep?? ne? on, to ukazuj? r?zn? individu?ln? m??en?, ov?em rozd?l nen? moc velk?.",a,1,2,no,7,0
"# text = Uhde do telefonu Kmentovi ?ekl mimo jin?, ?e by bylo sv?m zp?sobem dobr?, kdyby s t?m vy?el ve?ejn?, proto?e on to zat?m ???il formou dopis?, a po zve?ejn?n? by se v?c projednala soudn?.",a,3,3,yes,24,0
"# text = Jak sd?lil ?editel Novy na ot?zku LN, o existenci voln?ch kan?l? nebyla ve?ejnost informov?na a on s?m se o jejich p?id?len? dov?d?l z tisku.",a,1,2,no,17,0
"# text = Schl?n, kter? se zm?n?n?m obvin?n?m c?til potrefen, na to odepsal, ?e on nekrade, n?br? ?e Kudl?n op?t l?e, a kdo pr? l?e, ten tak? krade.",a,1,2,no,15,0
"# text = A? se V?clav Havel sv?m mor?ln?m odsouzen?m jak?koliv zbrojn? v?roby v tehdej??m ?eskoslovensku politicky ukvapil, nebo ne, je z?ejm?, ?e on ji nezru?il.",a,1,3,no,24,0
"# text = Ani oni nemaj? p?vodn?, p?ehlednou knihu o sv?ch d?jin?ch.",a,1,1,no,2,0
"# text = Za to obyvatel? domu nemohou, nicm?n? jsou to p?edev??m oni, kdo se mus? na ?e?en? vznikl?ch probl?m? pod?let.",a,1,2,no,11,0
"# text = Z ?ry soustavn?ho poni?ov?n? vze?li oni, kte?? se zaprod?vali za ono?en? d??ny.",a,,,no,6,0
"# text = Oni toti? nejsou ochotni si p?iznat, ?e vstup vojsk v srpnu 1968 za n? vy?e?il dilema jak d?l.",a,2,4,no,1,0
"# text = Jak se tedy m??e drobn? vkladatel t?to instituci br?nit, zvl?? kdy? si ona nech? sv? jedn?n? podlo?it odbornou expertizou.",i,3,1,no,14,0
"# text = Ony ale zvolily k?iv?ck? zp?sob boje a podpo?ily hulv?tstv?, sprostotu a le? v politice.",i,1,2,no,1,0
"# text = Ani ona do posledn? chv?le netu?ila, kdo se vlastn? za jm?nem jak?si nezn?m? tenistky z t?et? stovky ?eb???ku skr?v?.",a,1,1,no,2,0
"# text = Clintonova administrativa je sice ve sv?ch odhadech inflace pon?kud optimisti?t?j?? ne? MMF, i ona v?ak po??t? s jej?m r?stem z leto?n?ch 2.7 na 3.2 procenta v p??t?m roce.",i,1,1,no,15,0
# text = Tu chce mužstvo svými výkony a výsledky na jaře zastavit.,i,2,,no,1,1
"# text = Ten se však svého nového místa může ujmout až od roku 1997, tedy rok po skončení funkčního období dosavadní šéfky opery Evy Herrmannové.",a,4,1,no,1,1
# text = Ten dnes vede operu v Českých Budějovicích a s pražským souborem několikrát spolupracoval.,a,4,1,yes,1,1
"# text = Ten zahrne i etickou a rodinnou výchovu, bude se učit v souvislostech a nevyhne se ani poučením o kriminalitě, o nemocech a také o nebezpečí drogových závislostí.",i,2,2,no,1,1
"# text = Ten mají Benešová (200 m), Klapáčová a Obdržálková (obě 50 m), Makowková (výška), Rudová (60 m přek.), Valík (60 m) a Šuldesová (800 m).",i,1,,no,1,1
"# text = Ten se ostatně svými atributy očí či hořících much nabízí tak okatě, až je to celé navýsost podezřelé.",i,3,1,yes,1,1
"# text = Ty se podle střediska odehrály pouze v noci na včerejšek v Grozném, kde čečenští ostřelovači útočili na pozice ruských vojsk.",i,2,1,no,1,1
# text = Ta už stála téměř dvě miliardy korun a v současné době představuje přibližně dvě třetiny základního jmění společnosti.,i,4,1,no,1,1
# text = Ta povede z Prahy přes Ústí nad Labem do Drážďan ve Spolkové republice Německo.,i,2,1,yes,1,1
"# text = Na bruslení jsem měl dost času, protože jsem si původně myslel, že zůstanu v IHL, a ta začíná až o měsíc a půl později než extraliga.",i,6,1,no,20,1
# text = Ta se totiž specializovala na přípravu vojáků pro balkánskou misi.,i,2,1,yes,1,1
# text = Ta pracuje jako redaktorka ČTK.,a,1,1,yes,1,1
"# text = MUDr. Petr Čoupek: ""Byl takový trend, v první řadě informovat rodinu, jenže podle etického kodexu musí první informaci dostat pacient a teprve ten rozhodne, zda ji pustí dál.""",a,1,1,no,28,1
# text = Tu musí dát lékař.,i,4,,no,1,1
"# text = Ta tvrdila, že vraždu zorganizoval sám Nabijev, aby získal záminku k zásahu proti opozičním silám, nebo že jde o vyřizování účtů mezi vládnoucími klany.",i,4,1,no,1,1
"# text = Tu najdeme i na jeho prvním albu (Pavel Richter Band), kde kytaru, která hraje opakující se motivy, doprovázejí jen perkuse, většinou obrácené hrnce.",i,3,,no,1,1
"# text = Ta upozornila na to, že se pravděpodobně brzy uvolní některé stánky zanikající federace (například právě modernizovaná budova Federálního shromáždění).",i,2,1,yes,1,1
# text = Ti spolu se záchranáři nemocnice a Hlavní báňské záchranné služby i s piloty a mechaniky Belairu (dříve Slovairu) tvoří sehraný tým.,a,1,1,no,1,1
"# text = ""To je marné, ten už je mrtvý, je totiž alergický na bodnutí včelou,"" říkají bezradní, okolo stojící lidé.",a,2,2,no,6,1
"# text = Ne kvůli stanovisku české vlády - ta má svaté právo mít jiný názor než poslanci, ani kvůli panu Klausovi - příslušnost k politické straně přece nezavazuje k úplně stejnému názoru.",a,2,1,no,7,1
# text = A ta mu dala tvrdě za vyučenou.,i,7,1,no,2,1
"# text = Obec měla možnost pachtovat honitbu dražbou a tu dostal ten, kdo dal nejvíc.",i,4,,yes,8,1
"# text = Ten sázel, zveleboval pozemky, komoroval koroptve, líhl bažanty, krmil v zimě, prohrnoval sníh na ozimech, hlídal revíry před největší škodnou - toulavými psy a kočkami;",a,1,1,no,1,1
# text = Ty se utrácejí zde na Zemi.,i,1,1,yes,1,1
# text = ten se nám totiž časem ukáže sám.,i,4,1,no,1,1
# text = Cílem je restrukturalizace ekonomiky a ta má obrovské množství forem - bankrot je však formou extrémní.,i,2,1,yes,6,1
"# text = A ty jsou - jak známo - malé, což znamená, že soudy projednají do měsíce přibližně 10 - 15 podání věřitelů na konkurz.",i,7,1,yes,2,1
"# text = Co se týče velkých bank, tak ty jsou zatím z rizikového kola venku.",i,2,1,no,8,1
"# text = Ty jeho cenu v podstatě nemohou ovlivnit, zato ten ""druhý vzadu"" ano, a tím je Ministerstvo financí ČR.",i,1,1,no,1,1
"# text = Ta dělala v prosinci loňského roku u naturalu 9390 Kč, zatímco letos v lednu 10055 Kč.",i,4,1,yes,1,1
# text = Ta byla v posledním loňském měsíci 4045.70 Kč a v lednu roku 1994 pak 4129.65 Kč.,i,1,1,yes,1,1
"# text = Ti odhadují, že po uvolnění cen nebude následovat jejich okamžitý vzestup.",a,7,1,no,1,1
"# text = Ty jsou největší firemní devizou při konkurzních řízeních, kterých se firma účastní hlavně na severní Moravě.",i,4,1,no,1,1
# text = Ti mně pomáhají chápat život v celé jeho šíři.,a,1,1,no,1,1
# text = Ti zaplatí v sezoně za jeden den s polopenzí kolem 40 DEM.,a,1,1,yes,1,1
"# text = Zazněl názor, že udělat si byznys plán na pět let je dobrá věc, ale je dobré rozpracovat si ho i na jednotlivé měsíce, neboť ten odhalí problémy, s nimiž se bude podnikatel každodenně potýkat.",i,4,3,no,28,1
# text = Ten zaznamenává každý nákup prostřednictvím karty.,i,6,1,no,1,1
# text = Ti však údajně nesplnili jednu z podmínek soutěže.,a,3,1,no,1,1
# text = Ten má v nejbližší době případ rozhodnout.,i,4,1,no,1,1
# text = Ten byl původně postaven na principu transformace firmy do akciové společnosti a počítal se zahraniční kapitálovou účastí.,i,1,1,no,1,1
# text = Na stoly dávám papírové krajkové ubrusy a ty chráním čirým plexisklem uchyceným kovovými úchytkami.,i,4,,yes,8,1
# text = Ten tlačil na další změny.,a,3,1,no,1,1
# text = Ti vítají i častá jídla ze zvěřiny nebo jídla domácího typu.,a,2,1,no,1,1
"# text = Ty jsou největší firemní devízou při konkurzních řízeních, kterých se firma účastní hlavně na severní Moravě.",i,4,1,no,1,1
# text = Tu začínáme pomalu brát jako samozřejmost.,i,1,,no,1,1
"# text = Nyní - po uplynutí čtrnácti dní a dvou návštěvách - vidím, že ani ten není nejlepší a nevěnuje se mi tak, jak bych potřeboval.",a,4,1,no,15,1
"# text = Co se týče finančních prostředků od Světové banky, Evropské investiční banky a Evropské banky pro obnovu a rozvoj, tak ty nám budou uvolněny teprve letos na jaře.",i,2,1,no,22,1
