"","Individual","Form","Polarity","Sex","AgeGroup","Age","DP.Constituency","Proximate1","Proximate2","Proximate1.adj","Adjacency","Token","Following"
"48","Xs","S","Affirmative","M","20-30",24,"quantifier",2,3,"Non-Adjacent","Non-Adjacent","there was"," - what about twenty of us.  "
"49","Xs","S","Affirmative","M","20-30",24,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," so many - you-know lyke it 's really hard to get in at college doing Art "
"50","Xf","S","Affirmative","M","20-30",26,"numeric Q",0,0,"Adjacent","Adjacent","there was"," seven - I think "
"51","Xf","R","Affirmative","M","20-30",26,"partitive",1,1,"Non-Adjacent","Non-Adjacent","there were"," different types of staff, you-now there was curators, there was marketing people, "
"52","Xf","S","Affirmative","M","20-30",26,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," eight bedrooms in t' house, it was a massive house.  But "
"53","Xf","S","Affirmative","M","20-30",26,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there was"," seven bedrooms it was a big house.  And"
"54","Xf","S","Affirmative","M","20-30",26,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," marketing people, "
"55","Xf","S","Affirmative","M","20-30",26,"bare NP",0,0,"Adjacent","Adjacent","there was"," curators, "
"56","Xf","S","Affirmative","M","20-30",26,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," also people from t' Yorkshire-and-Humberside-Tourist-Board, Museums-Council, rather."
"57","Yh","R","Affirmative","F","20-30",26,"numeric Q",1,1,"Non-Adjacent","Non-Adjacent","there were"," about ten ... and they all- all knew you. "
"58","Yh","S","Affirmative","F","20-30",26,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," all kinds of stuff to handle.   "
"59","Yh","S","Affirmative","F","20-30",26,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," loads of fantastic galleries for you to see.  "
"60","Yh","S","Affirmative","F","20-30",26,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," two incidents happening and I think the headmaster's ways were different to these teacher's ways. "
"61","Yh","S","Affirmative","F","20-30",26,"bare NP",0,0,"Adjacent","Adjacent","there was"," rows and stuff. Sometimes they left.  But yeah apart from that teachers were fine. "
"62","Yh","S","Affirmative","F","20-30",26,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," always kids that were going missing.  "
"63","Yh","S","Affirmative","F","20-30",26,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," about seven lads got into a Bedford Van "
"64","Yh","S","Affirmative","F","20-30",26,"combo",2,3,"Non-Adjacent","Non-Adjacent","there was"," only a hundred kids in there and then ch-- "
"65","Yh","R","Negative","F","20-30",26,"combo",1,2,"Non-Adjacent","Non-Adjacent","there weren"," 't that many- there were about ten (inc.) and they all- all knew you. "
"66","Xq","S","Affirmative","M","20-30",27,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there was"," quite a few weren 't there?  "
"67","Xq","S","Affirmative","M","20-30",27,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," about twelve different groups on.  "
"68","Yn","R","Affirmative","F","20-30",27,"numeric Q",1,2,"Non-Adjacent","Non-Adjacent","there were"," like ten candidates for it, "
"69","Yn","R","Affirmative","F","20-30",27,"combo",2,3,"Non-Adjacent","Non-Adjacent","there were"," lyke so many people in lyke- in my delivery-room, "
"70","Xr","S","Affirmative","F","20-30",28,"definite",1,4,"Non-Adjacent","Non-Adjacent","there was"," you know them silly little concrete bollards about that tall, "
"71","Xr","S","Affirmative","F","20-30",28,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," all sorts of people, um, we have all your regulars you-know, that used to come in every week "
"72","Xr","S","Affirmative","F","20-30",28,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," black clouds all round, so they called anchor and it started to pour down, "
"73","Xr","S","Affirmative","F","20-30",28,"combo",3,3,"Non-Adjacent","Non-Adjacent","there was"," still quite strong winds in this part, yeah but anyway it was on.  "
"74","YN","R","Affirmative","M","20-30",29,"partitive",4,4,"Non-Adjacent","Non-Adjacent","there were"," a couple of armed guards "
"75","Y5","S","Affirmative","M","20-30",30,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about twelve of us went.  So lasses as well.  "
"76","Y5","S","Affirmative","M","20-30",30,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no potatoes growing or any sugar-beet or owt like that.  "
"77","Y5","S","Affirmative","M","20-30",30,"bare NP",0,0,"Adjacent","Adjacent","there was"," post-mortems being done on the farm to see why the pig had died, "
"78","YO","S","Affirmative","F","31-50",31,"partitive",2,3,"Non-Adjacent","Non-Adjacent","there was"," none of theses Mac-Donald parties and-things-like-that.  Um.  "
"79","YO","S","Affirmative","F","31-50",31,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no problems with her. "
"80","YO","S","Affirmative","F","31-50",31,"combo",1,1,"Non-Adjacent","Non-Adjacent","there was"," only three more in the school.   "
"81","Yi","R","Affirmative","F","31-50",33,"partitive",2,5,"Non-Adjacent","Non-Adjacent","there were"," about a hundred of us there, but it was very clique-ey and"
"82","Yi","R","Affirmative","F","31-50",33,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," groups of children.  I-mean sometimes you you hear them sort-of going up and down the street,"
"83","Yi","R","Affirmative","F","31-50",33,"numeric Q",0,2,"Adjacent","Non-Adjacent","there were"," three girls' grammars but one was Catholic. "
"84","Yi","S","Negative","F","31-50",33,"combo",1,4,"Non-Adjacent","Non-Adjacent","there was"," n 't as many sort-of instances as there are now "
"85","Y1","S","Affirmative","F","31-50",34,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," so many people there, but as soon as I saw Auntie-Janet, "
"86","Xl","S","Affirmative","F","31-50",34,"all",1,1,"Non-Adjacent","Non-Adjacent","there was"," all people on the committee and used to read them and then they 'd decide. "
"87","Xl","S","Affirmative","F","31-50",34,"partitive",1,8,"Non-Adjacent","Non-Adjacent","there was"," a lot of lyke beach buggy poser types that are driving along. "
"88","Xl","S","Affirmative","F","31-50",34,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," lots of rides, the Jaws ride and really good things, um.  "
"89","Xl","S","Affirmative","F","31-50",34,"bare NP",0,0,"Adjacent","Adjacent","there was"," boxes all over the factory, go out on a Monday and collect all those.  "
"90","Xl","S","Affirmative","F","31-50",34,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," some girls um, maybe eighteen-ish and they were having these top bits done.  "
"91","Xl","S","Affirmative","F","31-50",34,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," cer-- certain grades of an award and they 'd get money for- for doing that "
"92","Xn","R","Affirmative","F","31-50",35,"bare NP",0,0,"Adjacent","Adjacent","there were"," bricks flying in.  And you-know, it 's just kids, kids, "
"93","Xn","S","Affirmative","F","31-50",35,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," about fo-- four relationships that have- have broken up "
"94","Xy","R","Affirmative","M","31-50",37,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a few of us you-know, so we bought this, yeah, negotiated a price you-know, "
"95","Xy","S","Affirmative","M","31-50",37,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," all sorts of fish in there and stuff like that and we- we used to chase them up "
"96","Xy","R","Affirmative","M","31-50",37,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," enough of you there, they 'd stop an excursion or stop a train as a special request stop, "
"97","Xy","S","Affirmative","M","31-50",37,"partitive",2,4,"Non-Adjacent","Non-Adjacent","there was"," ever so many of them and er, one of them was Strensall, "
"98","Xy","R","Affirmative","M","31-50",37,"adjectiv",0,1,"Non-Adjacent","Non-Adjacent","there were"," various posts dotted around the country "
"99","Xy","R","Affirmative","M","31-50",37,"bare NP",0,0,"Adjacent","Adjacent","there were"," badgers in there, it was all full of badger sets, "
"100","Xz","S","Affirmative","M","31-50",40,"partitive",2,4,"Non-Adjacent","Non-Adjacent","there was"," just all sorts of people went in there.  "
"101","Xz","S","Affirmative","M","31-50",40,"partitive",2,4,"Non-Adjacent","Non-Adjacent","there was"," lyke, as-I-say three of us, I-mean I did all the chemistry I could, all the physics I could, "
"102","Xz","R","Negative","M","31-50",40,"V",0,0,"Adjacent","Adjacent","there weren"," 't any wages there."
"103","Xz","R","Affirmative","M","31-50",40,"V",1,1,"Non-Adjacent","Non-Adjacent","there were"," always people getting barred so he was always- "
"104","Xz","S","Affirmative","M","31-50",40,"combo",1,3,"Non-Adjacent","Non-Adjacent","there was"," a few other people around who wanted to come and sit in my wonderful garden over the road.   "
"105","Xz","S","Affirmative","M","31-50",40,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," lyke about two people in there, you-know.   "
"106","XA","R","Affirmative","M","31-50",40,"numeric Q",0,0,"Adjacent","Adjacent","there were","sixteen so the joke went, so the story went ,"
"107","XA","R","Affirmative","M","31-50",40,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," two pubs round the corner from it, still there of course, the Brewer's-Arms and- "
"108","XA","R","Affirmative","M","31-50",40,"bare NP",0,0,"Adjacent","Adjacent","there were"," fights and we used to g-- if there was ever any trouble in York, "
"109","XA","R","Affirmative","M","31-50",40,"bare NP",0,0,"Adjacent","Adjacent","there were","campaigns in pubs for example for a- a venue."
"110","XA","S","Negative","M","31-50",40,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," n 't any Brubakers or anything in those days.  "
"111","YR","S","Affirmative","F","31-50",41,"numeric Q",0,0,"Adjacent","Adjacent","there was"," six and seven after five but "
"112","YR","S","Affirmative","F","31-50",41,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," all sorts of things.  "
"113","YR","R","Negative","F","31-50",41,"quantifier",0,0,"Adjacent","Adjacent","there weren"," 't many around.  And I think if she was going to the few that there were, "
"114","YS","R","Affirmative","M","31-50",41,"combo",1,1,"Non-Adjacent","Non-Adjacent","there were"," probably half-a-dozen practicing you-know, "
"115","YT","R","Affirmative","F","31-50",41,"all",1,1,"Non-Adjacent","Non-Adjacent","there were"," all boys and me. "
"116","Yt","R","Affirmative","F","31-50",45,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," smaller offices,"
"117","Yt","S","Affirmative","F","31-50",45,"bare NP",0,0,"Adjacent","Adjacent","there was"," classrooms there.  And we used to do games either at Fishergate school "
"118","Yt","S","Affirmative","F","31-50",45,"bare NP",0,0,"Adjacent","Adjacent","there was"," things that we could do.  Yeah "
"119","Yt","R","Affirmative","F","31-50",45,"bare NP",0,0,"Adjacent","Adjacent","there were"," youth-clubs."
"120","Yt","R","Affirmative","F","31-50",45,"combo",1,2,"Non-Adjacent","Non-Adjacent","there were"," about eight people doing one thing and it did-- it wasn 't as much fun."
"121","Yt","S","Affirmative","F","31-50",45,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only two secretaries and - oh "
"122","Y3","S","Affirmative","F","31-50",46,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about six of us walked out.  "
"123","Y3","S","Affirmative","F","31-50",46,"neg",1,1,"Non-Adjacent","Non-Adjacent","there was"," no coats or jackets (inc).  "
"124","Y3","S","Affirmative","F","31-50",46,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," ever any problems.  "
"125","Y6","S","Negative","F","31-50",47,"definite",1,1,"Non-Adjacent","Non-Adjacent","there was"," n 't the activities that we have now, "
"126","Y6","S","Negative","F","31-50",47,"definite",1,1,"Non-Adjacent","Non-Adjacent","there was"," n 't the numbers in the community.  "
"127","Y6","R","Affirmative","F","31-50",47,"numeric Q",0,4,"Adjacent","Non-Adjacent","there were"," seven-and-a-half-thousand employees at the York works, in nineteen-sixty-five.  "
"128","Y6","R","Affirmative","F","31-50",47,"numeric Q",0,4,"Adjacent","Non-Adjacent","there were"," seven-hundred-and-fifty pupils about.  "
"129","Y6","S","Negative","F","31-50",47,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there was"," n 't many countries of Europe, apart from the Eastern-bloc which we didn 't touch, "
"130","Y6","S","Affirmative","F","31-50",47,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was"," only about twenty-four, twenty-six in their class.  "
"131","Yw","R","Affirmative","F","31-50",48,"neg",1,1,"Non-Adjacent","Non-Adjacent","there were"," no family, well, apart from distant relatives. "
"132","Yw","R","Affirmative","F","31-50",48,"bare NP",0,0,"Adjacent","Adjacent","there were"," radiators.  I 've never seen so many radiators in a house before! "
"133","Yw","R","Negative","F","31-50",48,"quantifier",0,2,"Adjacent","Non-Adjacent","there weren"," 't many fashion shops in York at that time, always went through to Leeds, "
"134","Yw","R","Negative","F","31-50",48,"quantifier",1,1,"Non-Adjacent","Non-Adjacent","there weren"," 't many nights of the week that there wasn 't anywhere to go at all. "
"135","Yw","S","Affirmative","F","31-50",48,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," literally hundreds, well not hundreds but lots of people all wanted this house. "
"136","Yw","S","Affirmative","F","31-50",48,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," what, two radiators down there, "
"137","Xx","S","Affirmative","F","31-50",50,"numeric Q",0,0,"Adjacent","Adjacent","there was"," eight there when we went to live there. "
"138","Xx","S","Affirmative","F","31-50",50,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," only four of them.  It seemed funny.  Am I switched on?  "
"139","Ys","S","Affirmative","M","31-50",50,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," still people living in James-Street and they pulled all that down. "
"140","Yz","S","Affirmative","F","51-70",51,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," two dining-rooms - um "
"141","Y4","S","Affirmative","M","51-70",52,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," only two of them.  "
"142","YV","S","Affirmative","M","51-70",53,"partitive",0,3,"Adjacent","Non-Adjacent","there was"," four of these houses, like two semi-detached houses,"
"143","YV","R","Affirmative","M","51-70",53,"partitive",1,3,"Adjacent","Non-Adjacent","there were"," only five of us in North-Yorkshire in those days.  And there was two of us based in York. "
"144","YV","S","Affirmative","M","51-70",53,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," two of us based in York.  "
"145","YV","R","Affirmative","M","51-70",53,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," various times - it depended on the climate.  "
"146","YV","R","Affirmative","M","51-70",53,"bare NP",0,0,"Adjacent","Adjacent","there were"," others involved as well because of it - this particular threat.  "
"147","YV","S","Affirmative","M","51-70",53,"quantifier",0,2,"Adjacent","Non-Adjacent","there was"," some funny people, but, "
"148","YV","S","Affirmative","M","51-70",53,"quantifier",2,2,"Non-Adjacent","Non-Adjacent","there was"," some nice people you-know.  "
"149","YV","S","Affirmative","M","51-70",53,"quantifier",0,2,"Adjacent","Non-Adjacent","there was"," some nice people. "
"150","YV","S","Affirmative","M","51-70",53,"quantifier",0,2,"Adjacent","Non-Adjacent","there was"," some nice people. You-know. "
"151","YV","R","Affirmative","M","51-70",53,"combo",2,3,"Non-Adjacent","Non-Adjacent","there were"," still a few pubs in Walmgate, "
"152","Y8","S","Affirmative","F","51-70",54,"numeric Q",0,0,"Adjacent","Adjacent","there was"," thirty, thirty-two, thirty-four.  "
"153","Y8","R","Affirmative","F","51-70",54,"definite",0,3,"Adjacent","Non-Adjacent","there were"," these great tall hats with loads of feathers.  They must have spent-. "
"154","Y8","R","Affirmative","F","51-70",54,"definite",0,1,"Non-Adjacent","Non-Adjacent","there were"," those rooms that umpteen people lived in. "
"155","Y8","S","Affirmative","F","51-70",54,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about six of us.  "
"156","Y8","S","Affirmative","F","51-70",54,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," about twenty-five, thirty of us. "
"157","Y8","S","Affirmative","F","51-70",54,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there was"," only three of us still nursing.  "
"158","Y8","S","Affirmative","F","51-70",54,"V",1,1,"Non-Adjacent","Non-Adjacent","there was"," more children than he knew but they didn't talk about it in those days.  "
"159","Y8","S","Negative","F","51-70",54,"combo",2,2,"Non-Adjacent","Non-Adjacent","there was","n 't too many people there.  "
"160","XB","S","Affirmative","M","51-70",54,"numeric Q",2,2,"Non-Adjacent","Non-Adjacent","there was"," er, one two three four five six, seven, eight. "
"161","XB","R","Affirmative","M","51-70",54,"bare NP",0,0,"Adjacent","Adjacent","there were"," foxes were coming through and what-not.  "
"162","XB","R","Affirmative","M","51-70",54,"bare NP",0,0,"Adjacent","Adjacent","there were"," things like er, whistdrives, pubs of-course. "
"163","XB","S","Affirmative","M","51-70",54,"quantifier",0,2,"Adjacent","Non-Adjacent","there was"," some big lads there and er, they were um, "
"164","XB","R","Affirmative","M","51-70",54,"combo",2,2,"Non-Adjacent","Non-Adjacent","there were"," about oh seven or eight, they were all advertised in- in the Evening-Press.  Oh"
"165","Yf","R","Affirmative","F","51-70",55,"numeric Q",0,0,"Adjacent","Adjacent","there were"," eleven, but I 've been wracking my brains "
"166","Yf","R","Affirmative","F","51-70",55,"partitive",1,3,"Non-Adjacent","Non-Adjacent","there were"," a couple of boys in there who were really good at art, they were both talented, "
"167","Yf","R","Affirmative","F","51-70",55,"partitive",1,1,"Non-Adjacent","Non-Adjacent","there were"," other ways of doing things if you like, "
"168","Yf","R","Affirmative","F","51-70",55,"numeric Q",2,3,"Non-Adjacent","Non-Adjacent","there were"," one or two bigger shops in York which have gone, "
"169","Yf","R","Affirmative","F","51-70",55,"numeric Q",2,4,"Non-Adjacent","Non-Adjacent","there were"," one or two married teachers when I was in school "
"170","Yf","R","Affirmative","F","51-70",55,"adjectiv",1,3,"Non-Adjacent","Non-Adjacent","there were"," older brothers and sisters, "
"171","Yf","R","Negative","F","51-70",55,"bare NP",0,0,"Adjacent","Adjacent","there weren"," 't video-cameras in those days."
"172","Yf","R","Affirmative","F","51-70",55,"bare NP",0,0,"Adjacent","Adjacent","there were"," times when I used to be worried and frightened about certain things, I mean everybody has that. "
"173","Yf","R","Affirmative","F","51-70",55,"combo",5,5,"Non-Adjacent","Non-Adjacent","there were"," just not any married women teachers. "
"174","YX","S","Affirmative","F","51-70",57,"numeric Q",2,6,"Non-Adjacent","Non-Adjacent","there was"," one or two of those young boys there,"
"175","YX","R","Affirmative","F","51-70",57,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," good times as well as er as well er difficult. "
"176","YX","S","Affirmative","F","51-70",57,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there was"," lyke gulleys across the field, they weren 't normally full of water "
"177","Ym","S","Affirmative","M","51-70",59,"definite",2,2,"Non-Adjacent","Non-Adjacent","there was"," all t WRAKs, women's camp next-door,"
"178","Ym","S","Affirmative","M","51-70",59,"partitive",0,2,"Adjacent","Non-Adjacent","there was"," hundred-and-thirty of them went straight to Leeds for killing, "
"179","Ym","S","Affirmative","M","51-70",59,"numeric Q",0,3,"Adjacent","Non-Adjacent","there was"," three big Massey-Fergie tractors came down from Major-Weeks farm "
"180","Ym","S","Affirmative","M","51-70",59,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there was"," two brothers, Dick and Bill-Midgely, who owned the big caravans "
"181","Ym","S","Affirmative","M","51-70",59,"bare NP",0,0,"Adjacent","Adjacent","there was"," patrol-cars going past, we waved at them,"
"182","Ym","S","Affirmative","M","51-70",59,"combo",5,7,"Non-Adjacent","Non-Adjacent","there was"," er - oh, I forget how many hundred soldiers int Artillery, "
"183","Ym","S","Affirmative","M","51-70",59,"combo",1,2,"Non-Adjacent","Non-Adjacent","there was"," only ninety-six houses in Stockton,  "
"184","Ym","S","Affirmative","M","51-70",59,"combo",2,4,"Non-Adjacent","Non-Adjacent","there was"," something like four-and-a-half hundred vehicles parked up on t square on a night.  "
"185","Y7","R","Affirmative","M","51-70",60,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," lots of bombs dropped in that area. "
"186","Y7","R","Affirmative","M","51-70",60,"partitive",0,2,"Adjacent","Non-Adjacent","there were"," lots of folk watching that I knew I could talk to. "
"187","Y7","R","Affirmative","M","51-70",60,"partitive",4,4,"Non-Adjacent","Non-Adjacent","there were","reasonable number of jobs "
"188","Y7","R","Affirmative","M","51-70",60,"numeric Q",0,1,"Non-Adjacent","Non-Adjacent","there were"," three people interviewing you I think it was.  "
"189","Y7","R","Affirmative","M","51-70",60,"adjectiv",1,1,"Non-Adjacent","Non-Adjacent","there were"," shady characters round it wasn 't an obsessive thing"
"190","Y7","R","Affirmative","M","51-70",60,"bare NP",0,0,"Adjacent","Adjacent","there were"," air-raids round and"
"191","Y7","R","Affirmative","M","51-70",60,"bare NP",0,0,"Adjacent","Adjacent","there were"," people to run to.  And there certainly weren 't playgroup and creche facilities.   "
"192","Y7","R","Affirmative","M","51-70",60,"quantifier",2,4,"Non-Adjacent","Non-Adjacent","there were"," quite a few older people. There were one or two people who 'd been regular soldiers and things like that."
